Number of Networks,'19611'
'205.198.152.0/21','2048','2'
'188.142.224.0/19','8192','1'
'151.143.0.0/16','65536','17'
'23.54.32.0/20','4096','4'
'146.23.16.0/22','1024','1'
'185.214.188.0/22','1024','1'
'163.1.0.0/16','65536','4'
'47.106.0.0/16','65536','9'
'93.185.96.0/20','4096','2'
'107.148.0.0/15','131072','35'
'3.104.0.0/14','262144','19'
'77.90.156.0/24','256','1'
'58.87.68.0/22','1024','1'
'54.166.0.0/15','131072','6'
'143.125.224.0/19','8192','7'
'162.243.160.0/20','4096','3'
'89.108.104.0/24','256','1'
'24.114.0.0/16','65536','1'
'177.137.154.0/24','256','1'
'100.40.0.0/17','32768','1'
'34.224.0.0/12','1048576','81'
'97.74.88.0/21','2048','1'
'108.50.128.0/17','32768','2'
'35.72.0.0/13','524288','27'
'203.180.0.0/16','65536','3'
'35.140.0.0/16','65536','1'
'185.74.8.0/22','1024','1'
'23.229.220.0/22','1024','1'
'52.60.128.0/17','32768','5'
'64.136.95.0/24','256','1'
'185.101.32.0/22','1024','1'
'150.95.112.0/21','2048','1'
'95.65.0.0/17','32768','7'
'95.211.0.0/16','65536','5'
'153.120.0.0/17','32768','2'
'2.20.160.0/20','4096','3'
'153.35.100.0/23','512','1'
'69.42.192.0/20','4096','1'
'202.89.116.0/23','512','1'
'13.64.0.0/11','2097152','59'
'154.64.110.0/23','512','1'
'177.234.162.0/24','256','1'
'178.251.40.0/24','256','1'
'128.8.0.0/16','65536','1'
'89.184.64.0/19','8192','5'
'13.40.0.0/14','262144','8'
'117.78.0.0/20','4096','3'
'75.119.128.0/19','8192','2'
'88.218.232.0/22','1024','1'
'104.76.64.0/19','8192','3'
'18.65.179.0/24','256','1'
'91.0.0.0/10','4194304','10'
'107.179.59.0/24','256','1'
'95.128.128.0/21','2048','2'
'174.129.0.0/16','65536','4'
'173.44.160.0/23','512','1'
'192.241.192.0/19','8192','2'
'41.225.0.0/16','65536','30'
'185.122.44.0/23','512','1'
'188.128.128.0/17','32768','17'
'52.54.0.0/15','131072','15'
'149.56.0.0/16','65536','12'
'114.115.128.0/18','16384','3'
'104.123.88.0/21','2048','5'
'23.4.224.0/20','4096','4'
'188.54.96.0/20','4096','1'
'103.4.60.0/24','256','1'
'164.155.224.0/22','1024','1'
'185.160.192.0/24','256','1'
'142.93.192.0/20','4096','3'
'23.11.144.0/20','4096','2'
'200.115.152.0/22','1024','1'
'82.64.0.0/14','262144','18'
'176.58.96.0/19','8192','4'
'156.244.224.0/19','8192','3'
'18.179.0.0/16','65536','7'
'47.242.0.0/16','65536','11'
'54.239.158.0/23','512','1'
'13.209.0.0/16','65536','9'
'217.160.0.0/16','65536','6'
'54.224.0.0/15','131072','12'
'104.98.16.0/20','4096','3'
'43.156.192.0/18','16384','1'
'144.34.160.0/19','8192','1'
'104.27.64.0/20','4096','3'
'154.220.112.0/20','4096','2'
'23.96.0.0/14','262144','14'
'88.221.221.0/24','256','1'
'207.96.128.0/17','32768','1'
'184.24.160.0/19','8192','4'
'99.88.0.0/13','524288','2'
'89.8.0.0/15','131072','7'
'156.230.192.0/18','16384','10'
'181.228.0.0/15','131072','3'
'152.173.0.0/17','32768','1'
'35.155.0.0/16','65536','3'
'206.2.230.0/23','512','1'
'190.15.198.0/23','512','2'
'104.25.32.0/20','4096','6'
'172.105.192.0/19','8192','4'
'128.102.0.0/16','65536','1'
'108.159.82.0/24','256','1'
'212.48.70.0/23','512','1'
'87.117.192.0/18','16384','3'
'63.227.240.0/23','512','1'
'159.135.32.0/20','4096','1'
'156.251.192.0/18','16384','6'
'176.96.136.0/22','1024','1'
'81.169.128.0/17','32768','13'
'208.30.40.0/23','512','1'
'45.190.7.0/24','256','1'
'154.208.240.0/21','2048','2'
'162.241.0.0/19','8192','3'
'104.248.128.0/20','4096','1'
'199.48.232.0/21','2048','1'
'104.99.192.0/19','8192','3'
'52.0.0.0/15','131072','13'
'178.248.208.0/21','2048','1'
'23.75.0.0/20','4096','3'
'104.69.144.0/20','4096','7'
'23.57.112.0/22','1024','2'
